Data Zone,Intermediate Geography Name,All people,Work or study mainly at or from home,Underground metro light rail or tram,Train,Bus minibus or coach,Taxi or minicab,Driving a car or van,Passenger in a car or van,Motorcycle scooter or moped,Bicycle,On foot,Other
S01003212,Mount Vernon North and Sandyhills,489,48,1,70,37,1,226,44,-,7,51,4
S01003213,Braidfauld,313,21,-,7,89,1,97,39,-,2,53,4
S01003214,Baillieston West,375,42,-,34,63,5,138,39,1,1,51,1
S01003215,Pollok North and East,546,61,1,20,112,8,174,48,1,1,118,2
S01003216,Cardonald West and Central,392,35,1,41,58,3,153,50,-,3,45,3
S01003217,Dalmarnock,323,48,-,23,85,5,68,22,-,3,68,1
S01003218,Cardonald South and East,432,44,4,26,86,2,153,37,1,6,70,3
S01003219,Mosspark,457,38,12,20,97,6,166,31,-,8,79,-
S01003220,Pollokshields East,507,93,31,58,49,6,119,51,-,9,90,1
S01003221,Cardonald South and East,506,61,5,22,116,5,119,35,-,4,136,3
S01003222,Pollokshields East,526,119,15,61,60,6,105,43,1,14,99,3
S01003223,Braidfauld,454,69,-,14,144,3,116,23,2,-,83,-
S01003224,Mount Vernon North and Sandyhills,383,40,-,21,65,3,181,34,-,4,32,3
S01003225,Gorbals and Hutchesontown,267,28,3,7,83,2,53,14,-,3,71,3
S01003226,Braidfauld,392,49,4,7,110,11,100,34,-,-,77,-
S01003227,Pollokshields East,1155,182,30,103,218,5,336,75,-,21,175,10
S01003228,Braidfauld,738,92,2,30,146,8,250,70,1,2,129,8
S01003229,Pollokshields West,628,116,27,52,30,1,234,80,-,11,73,4
S01003230,Mosspark,539,37,11,20,109,7,194,45,-,5,110,1
S01003231,Baillieston West,459,47,-,48,83,8,166,36,-,-,69,2
S01003232,Laurieston and Tradeston,545,55,6,25,161,-,127,37,2,8,121,3
S01003233,Mount Vernon North and Sandyhills,619,54,3,63,52,12,305,61,-,1,62,6
S01003234,Pollokshields West,560,70,49,28,40,4,228,57,1,14,62,7
S01003235,Shettleston South,478,47,-,27,81,10,196,48,-,2,66,1
S01003236,Pollokshields West,440,62,41,36,44,3,115,49,1,5,82,2
S01003237,Baillieston West,483,55,2,37,82,5,157,37,2,1,103,2
S01003238,Cardonald West and Central,474,38,3,47,78,5,163,36,1,6,97,-
S01003239,Cardonald South and East,598,67,6,19,124,3,185,51,-,5,136,2
S01003240,Cardonald West and Central,505,42,4,39,75,2,201,41,-,6,92,3
S01003241,Shettleston South,479,26,3,39,60,6,228,64,-,2,50,1
S01003242,Kingston West and Dumbreck,613,69,25,44,77,-,228,76,-,19,72,3
S01003243,Cardonald West and Central,520,53,3,17,93,8,191,40,1,3,109,2
S01003244,Baillieston East,461,45,1,48,81,7,137,56,-,3,80,3
S01003245,Gorbals and Hutchesontown,573,69,18,27,129,4,114,25,-,7,172,8
S01003246,Shettleston North,338,41,2,30,80,9,96,25,-,3,51,1
S01003247,Parkhead East and Braidfauld North,464,53,-,16,147,3,105,42,1,2,92,3
S01003248,"Calton, Galllowgate and Bridgeton",649,74,4,84,113,2,176,41,-,10,142,3
S01003249,Parkhead East and Braidfauld North,452,28,-,19,142,5,157,27,1,6,64,3
S01003250,Mosspark,345,35,4,15,67,2,110,46,1,8,56,1
S01003251,Dalmarnock,383,61,1,19,106,6,59,17,-,7,102,5
S01003252,Baillieston West,339,23,1,43,27,8,157,28,1,1,46,4
S01003253,Parkhead West and Barrowfield,470,80,-,15,144,3,88,32,-,2,104,2
S01003254,Dalmarnock,253,30,-,22,68,4,29,18,1,1,79,1
S01003255,Cardonald South and East,458,57,5,16,118,3,150,39,1,-,68,1
S01003256,Pollokshields West,861,192,102,46,137,7,142,41,2,3,185,4
S01003257,Pollokshields West,486,77,27,31,36,1,167,54,1,7,81,4
S01003258,Baillieston West,480,50,1,64,50,2,215,47,-,-,49,2
S01003259,Baillieston East,845,76,7,90,98,5,352,91,-,2,117,7
S01003260,Mount Vernon North and Sandyhills,443,45,-,42,61,5,193,46,1,1,44,5
S01003261,Cardonald West and Central,498,43,1,28,77,1,239,53,2,4,48,2
S01003262,Tollcross,436,51,-,40,92,8,117,32,-,6,87,3
S01003263,Parkhead West and Barrowfield,560,83,8,61,113,5,109,41,1,11,125,3
S01003264,Mosspark,353,44,7,19,93,1,107,25,-,3,54,-
S01003265,Cardonald West and Central,340,35,1,12,75,1,109,38,-,3,65,1
S01003266,Tollcross,367,33,1,18,65,4,119,48,1,2,72,4
S01003267,Shettleston North,450,43,1,45,79,6,159,35,-,-,80,2
S01003268,Gorbals and Hutchesontown,1183,121,42,40,191,5,299,48,2,23,402,10
S01003269,Parkhead East and Braidfauld North,512,47,-,27,168,3,130,43,-,5,88,1
S01003270,"Calton, Galllowgate and Bridgeton",412,50,3,51,77,3,81,13,-,12,120,2
S01003271,"Calton, Galllowgate and Bridgeton",1321,168,16,153,197,11,352,46,3,20,344,11
S01003272,Gorbals and Hutchesontown,978,141,22,46,169,9,252,37,2,20,270,10
S01003273,Parkhead West and Barrowfield,318,53,-,2,119,3,60,16,1,1,63,-
S01003274,Laurieston and Tradeston,242,30,6,7,77,3,43,12,1,2,60,1
S01003275,Shettleston North,513,54,-,64,111,5,155,47,-,1,76,-
S01003276,Garrowhill West,497,46,2,93,35,4,191,43,-,3,78,2
