category,latitude,longitude,datazone,name
Potholes,55.86689,-4.12817,S01010122,North Barlanark and Easterhouse South - 05
Potholes,55.82437,-4.26634,S01009900,Battlefield - 02
Potholes,55.81776,-4.36714,S01009797,Pollok South and West - 06
Potholes,55.81858,-4.25584,S01010010,Cathcart - 06
Potholes,55.88359,-4.26693,S01010313,Keppochhill - 05
Potholes,55.81859,-4.37003,S01009793,Pollok South and West - 02
Potholes,55.81861,-4.37158,S01009793,Pollok South and West - 02
Potholes,55.8215,-4.365,S01009797,Pollok South and West - 06
Potholes,55.81901,-4.36978,S01009793,Pollok South and West - 02
Potholes,55.8935,-4.19563,S01010191,Robroyston and Millerston - 06
Potholes,55.86919,-4.30995,S01010387,Hillhead - 07
Potholes,55.8126,-4.30917,S01009945,Carnwadric East - 02
Potholes,55.87058,-4.32025,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.8938,-4.31199,S01010465,Anniesland East - 01
Potholes,55.85621,-4.36386,S01009833,Drumoyne and Shieldhall - 01
Potholes,55.8185,-4.37008,S01009793,Pollok South and West - 02
Pavements/footpaths,55.86303,-4.24383,S01010259,City Centre East - 01
Potholes,55.86659,-4.27127,S01010289,Woodlands - 01
Potholes,55.88237,-4.21045,S01010207,Petershill - 05
Pavements/footpaths,55.89313,-4.26998,S01010333,Milton West - 04
Potholes,55.84857,-4.32298,S01009849,Craigton - 02
Potholes,55.89371,-4.19587,S01010191,Robroyston and Millerston - 06
Potholes,55.89293,-4.19521,S01010191,Robroyston and Millerston - 06
Potholes,55.8967,-4.36666,S01010447,Knightswood West - 01
Potholes,55.83123,-4.33979,S01009799,Pollok North and East - 01
Potholes,55.87125,-4.2141,S01010229,"Roystonhill, Blochairn, and Provanmill - 02"
Potholes,55.8631,-4.24566,S01010260,City Centre East - 02
Potholes,55.82629,-4.24517,S01010002,Kingspark North - 04
Potholes,55.83044,-4.27684,S01009909,Strathbungo - 05
Pavements/footpaths,55.86539,-4.26427,S01010271,City Centre West - 06
Potholes,55.83293,-4.35638,S01009805,Pollok North and East - 07
Pavements/footpaths,55.87745,-4.22169,S01010225,Sighthill - 01
Pavements/footpaths,55.91112,-4.38318,S01010501,Drumry West - 02
Potholes,55.88327,-4.19994,S01010185,Blackhill and Barmulloch East - 07
Potholes,55.85662,-4.25466,S01010274,City Centre South - 03
Potholes,55.81594,-4.23384,S01009995,Kingspark South - 03
Potholes,55.87814,-4.21684,S01010203,Petershill - 01
Potholes,55.92301,-4.27953,S01010345,Summerston Central and West - 06
Pavements/footpaths,55.82649,-4.28058,S01009931,Langside - 05
Pavements/footpaths,55.82609,-4.28133,S01009932,Langside - 06
Potholes,55.86183,-4.27864,S01010283,Finnieston and Kelvinhaugh - 02
Potholes,55.86379,-4.25435,S01010275,City Centre South - 04
Potholes,55.80702,-4.36543,S01009774,Darnley West - 07
Potholes,55.87029,-4.32395,S01010391,Glasgow Harbour and Partick South - 04
Potholes,55.88336,-4.30248,S01010368,Kelvindale - 06
Pavements/footpaths,55.87531,-4.31105,S01010400,Partickhill and Hyndland - 04
Potholes,55.86112,-4.34664,S01009833,Drumoyne and Shieldhall - 01
Pavements/footpaths,55.85825,-4.17766,S01010151,Old Shettleston and Parkhead North - 05
Potholes,55.83868,-4.27847,S01009912,Maxwell Park - 01
Potholes,55.83643,-4.29414,S01009914,Maxwell Park - 03
Potholes,55.85152,-4.29704,S01009872,Kingston West and Dumbreck - 02
Potholes,55.902,-4.37296,S01010486,Blairdardie West - 02
Potholes,55.87241,-4.0998,S01010111,Central Easterhouse - 02
